datetime,usage_kw,ac_kw,refrigerator_kw,kitchen_kw,ups_kw,wp_kw,wd_kw,br_kw,house_id,hour,day_of_week,month,is_weekend,season,daily_kwh,usage_lag_1h,usage_lag_24h,usage_roll_24h,usage_roll_7d
2018-06-02 00:00:00,1.551285,0.10020000000000001,0.0,0.152835,0.0,0.0,0.0,0.0,House33,0,5,6,1,summer,34.91021666666667,1.6959166666666665,1.2951116666666667,1.268995,1.2700396666666667
2018-06-02 01:00:00,1.42249,0.09074666666666667,0.0,0.128875,0.0,0.0,0.0,0.0,House33,1,5,6,1,summer,34.91021666666667,1.551285,0.98201,1.2873483333333333,1.275903141025641
2018-06-02 02:00:00,2.128275,0.140405,0.0,0.092,0.0,0.0,0.0,0.0,House33,2,5,6,1,summer,34.91021666666667,1.42249,2.2463366666666666,1.282429097222222,1.3074724691358024
2018-06-02 03:00:00,1.6395083333333333,0.10613166666666667,0.0,0.18958166666666668,0.0,0.0,0.0,0.0,House33,3,5,6,1,summer,34.91021666666667,2.128275,1.5811916666666666,1.2848589583333332,1.319330892857143
2018-06-02 04:00:00,1.1544050000000001,0.073625,0.0,0.17775333333333335,0.0,0.0,0.0,0.0,House33,4,5,6,1,summer,34.91021666666667,1.6395083333333333,0.9604,1.2929424999999999,1.3136437931034481
2018-06-02 05:00:00,1.1471633333333335,0.07350833333333333,0.0,0.17248333333333335,0.0,0.0,0.0,0.0,House33,5,5,6,1,summer,34.91021666666667,1.1544050000000001,1.0298766666666668,1.2978294444444445,1.3080944444444442
2018-06-02 06:00:00,1.165875,0.07439166666666666,0.0,0.16470833333333335,0.0,0.0,0.0,0.0,House33,6,5,6,1,summer,34.91021666666667,1.1471633333333335,0.9786833333333333,1.3056290972222222,1.3035067204301074
2018-06-02 07:00:00,1.1476066666666667,0.07241166666666667,0.0,0.15419166666666667,0.0,0.0,0.0,0.0,House33,7,5,6,1,summer,34.91021666666667,1.165875,1.3429216666666666,1.2974909722222223,1.29863484375
2018-06-02 08:00:00,1.424135,0.08616,0.0,0.16426333333333334,0.0,0.0,0.0,0.0,House33,8,5,6,1,summer,34.91021666666667,1.1476066666666667,1.5057883333333335,1.29408875,1.3024378787878788
2018-06-02 09:00:00,1.436855,0.08668000000000001,0.0,0.09987666666666667,0.0,0.0,0.0,0.0,House33,9,5,6,1,summer,34.91021666666667,1.424135,1.264755,1.3012595833333334,1.3063913235294118
2018-06-02 10:00:00,0.771385,0.04230666666666667,0.0,0.13819166666666666,0.0,0.0,0.0,0.0,House33,10,5,6,1,summer,34.91021666666667,1.436855,0.8419166666666666,1.298320763888889,1.2911054285714285
2018-06-02 11:00:00,1.2868766666666667,0.07775333333333334,0.0,0.154615,0.0,0.0,0.0,0.0,House33,11,5,6,1,summer,34.91021666666667,0.771385,0.8146466666666666,1.3179970138888888,1.290987962962963
2018-06-02 12:00:00,1.0630666666666666,0.06312,0.0,0.07301833333333334,0.0,0.0,0.0,0.0,House33,12,5,6,1,summer,34.91021666666667,1.2868766666666667,0.5590383333333333,1.3389981944444445,1.2848279279279278
2018-06-02 13:00:00,0.8222466666666667,0.046185000000000004,0.0,0.15702333333333335,0.0,0.0,0.0,0.0,House33,13,5,6,1,summer,34.91021666666667,1.0630666666666666,0.5640350000000001,1.3497570138888888,1.2726547368421053
2018-06-02 14:00:00,1.2174816666666668,0.07453666666666667,0.0,0.15108666666666667,0.0,0.0,0.0,0.0,House33,14,5,6,1,summer,34.91021666666667,0.8222466666666667,0.5713716666666666,1.3766782638888888,1.2712400427350428
2018-06-02 15:00:00,1.1651066666666667,0.07117166666666666,0.0,0.10764666666666667,0.0,0.0,0.0,0.0,House33,15,5,6,1,summer,34.91021666666667,1.2174816666666668,0.6589333333333334,1.3977688194444442,1.2685867083333333
2018-06-02 16:00:00,1.1236466666666667,0.06747666666666667,0.0,0.092975,0.0,0.0,0.0,0.0,House33,16,5,6,1,summer,34.91021666666667,1.1651066666666667,0.9598099999999999,1.4045953472222221,1.2650515853658537
2018-06-02 17:00:00,1.7368033333333335,0.11249166666666667,0.0,0.18963333333333335,0.0,0.0,0.0,0.0,House33,17,5,6,1,summer,34.91021666666667,1.1236466666666667,1.9597266666666668,1.3953068750000002,1.27628376984127
2018-06-02 18:00:00,1.7733133333333333,0.11834166666666666,0.0,0.228945,0.0,0.0,0.0,0.0,House33,18,5,6,1,summer,34.91021666666667,1.7368033333333335,1.7716316666666667,1.3953769444444444,1.2878425968992249
2018-06-02 19:00:00,1.8568066666666667,0.12188333333333333,0.0,0.32428666666666667,0.0,0.0,0.0,0.0,House33,19,5,6,1,summer,34.91021666666667,1.7733133333333333,1.8060333333333332,1.3974925,1.3007735984848485
2018-06-02 20:00:00,1.5279183333333333,0.09650166666666667,0.0,0.177115,0.0,0.0,0.0,0.0,House33,20,5,6,1,summer,34.91021666666667,1.8568066666666667,1.3995983333333333,1.4028391666666666,1.3058212592592593
2018-06-02 21:00:00,1.573095,0.09549500000000001,0.0,0.168705,0.0,0.0,0.0,0.0,House33,21,5,6,1,summer,34.91021666666667,1.5279183333333333,1.6796716666666667,1.3983984722222222,1.3116315579710145
2018-06-02 22:00:00,2.3898533333333334,0.15560666666666664,0.0,0.16189499999999998,0.0,0.0,0.0,0.0,House33,22,5,6,1,summer,34.91021666666667,1.573095,1.7303016666666666,1.4258797916666666,1.3345724468085107
2018-06-02 23:00:00,2.3850183333333335,0.15568166666666666,0.0,0.153025,0.0,0.0,0.0,0.0,House33,23,5,6,1,summer,34.91021666666667,2.3898533333333334,1.6959166666666665,1.454592361111111,1.356456736111111
2018-06-03 00:00:00,2.0566466666666665,0.133105,0.0,0.14748,0.0,0.0,0.0,0.0,House33,0,6,6,1,summer,39.59095,2.3850183333333335,1.551285,1.475649097222222,1.3707463265306121
2018-06-03 01:00:00,2.0457449999999997,0.131745,0.0,0.1572083333333333,0.0,0.0,0.0,0.0,House33,1,6,6,1,summer,39.59095,2.0566466666666665,1.42249,1.5016180555555556,1.3842463
2018-06-03 02:00:00,2.4732600000000002,0.160755,0.0,0.10392666666666667,0.0,0.0,0.0,0.0,House33,2,6,6,1,summer,39.59095,2.0457449999999997,2.128275,1.5159924305555554,1.4055995098039216
2018-06-03 03:00:00,2.180815,0.14150666666666664,0.0,0.13671833333333333,0.0,0.0,0.0,0.0,House33,3,6,6,1,summer,39.59095,2.4732600000000002,1.6395083333333333,1.538546875,1.4205074999999998
2018-06-03 04:00:00,1.6710633333333333,0.10975,0.0,0.18401833333333334,0.0,0.0,0.0,0.0,House33,4,6,6,1,summer,39.59095,2.180815,1.1544050000000001,1.5600743055555555,1.425234968553459
2018-06-03 05:00:00,1.5339233333333333,0.10129,0.0,0.17498166666666667,0.0,0.0,0.0,0.0,House33,5,6,6,1,summer,39.59095,1.6710633333333333,1.1471633333333335,1.5761893055555556,1.4272477160493826
2018-06-03 06:00:00,1.6416333333333335,0.10778,0.0,0.16755,0.0,0.0,0.0,0.0,House33,6,6,6,1,summer,39.59095,1.5339233333333333,1.165875,1.5960125694444445,1.4311456363636363
2018-06-03 07:00:00,1.5663116666666668,0.10362,0.0,0.15852666666666665,0.0,0.0,0.0,0.0,House33,7,6,6,1,summer,39.59095,1.6416333333333335,1.1476066666666667,1.6134586111111109,1.4335593154761903
2018-06-03 08:00:00,1.6499,0.10880333333333334,0.0,0.15153333333333335,0.0,0.0,0.0,0.0,House33,8,6,6,1,summer,39.59095,1.5663116666666668,1.424135,1.6228654861111111,1.4373547660818713
2018-06-03 09:00:00,1.07376,0.06349,0.0,0.16773000000000002,0.0,0.0,0.0,0.0,House33,9,6,6,1,summer,39.59095,1.6499,1.436855,1.6077365277777778,1.4310858908045978
2018-06-03 10:00:00,0.99203,0.045048333333333336,0.0,0.15442,0.0,0.0,0.0,0.0,House33,10,6,6,1,summer,39.59095,1.07376,0.771385,1.6169300694444446,1.4236442655367232
2018-06-03 11:00:00,0.8068116666666667,0.03247666666666667,0.0,0.08286333333333333,0.0,0.0,0.0,0.0,House33,11,6,6,1,summer,39.59095,0.99203,1.2868766666666667,1.596927361111111,1.4133637222222222
2018-06-03 12:00:00,2.86722,0.5285816666666666,0.0,0.11733666666666666,0.0,0.0,0.0,0.0,House33,12,6,6,1,summer,39.59095,0.8068116666666667,1.0630666666666666,1.6721004166666666,1.437197431693989
2018-06-03 13:00:00,1.053445,0.1602,0.0,0.0679,0.0,0.0,0.0,0.0,House33,13,6,6,1,summer,39.59095,2.86722,0.8222466666666667,1.6817336805555556,1.4310078763440859
2018-06-03 14:00:00,1.2867899999999999,0.07769833333333334,0.0,0.15132833333333334,0.0,0.0,0.0,0.0,House33,14,6,6,1,summer,39.59095,1.053445,1.2174816666666668,1.6846215277777776,1.4287187037037037
2018-06-03 15:00:00,1.1517966666666666,0.07159,0.0,0.14579999999999999,0.0,0.0,0.0,0.0,House33,15,6,6,1,summer,39.59095,1.2867899999999999,1.1651066666666667,1.6840669444444443,1.424391796875
2018-06-03 16:00:00,1.2607849999999998,0.07726333333333332,0.0,0.08470833333333334,0.0,0.0,0.0,0.0,House33,16,6,6,1,summer,39.59095,1.1517966666666666,1.1236466666666667,1.6897810416666665,1.4218747692307692
2018-06-03 17:00:00,2.114125,0.14355333333333334,0.0,0.17404999999999998,0.0,0.0,0.0,0.0,House33,17,6,6,1,summer,39.59095,1.2607849999999998,1.7368033333333335,1.7055027777777776,1.432363409090909
2018-06-03 18:00:00,1.8788799999999999,0.12687333333333334,0.0,0.24528999999999998,0.0,0.0,0.0,0.0,House33,18,6,6,1,summer,39.59095,2.114125,1.7733133333333333,1.7099013888888892,1.4390278358208957
2018-06-03 19:00:00,1.8978116666666667,0.12553166666666668,0.0,0.26689,0.0,0.0,0.0,0.0,House33,19,6,6,1,summer,39.59095,1.8788799999999999,1.8568066666666667,1.7116099305555554,1.445774656862745
2018-06-03 20:00:00,2.2826466666666665,0.774065,0.0,0.18242333333333333,0.0,0.0,0.0,0.0,House33,20,6,6,1,summer,39.59095,1.8978116666666667,1.5279183333333333,1.7430569444444444,1.4579032367149758
2018-06-03 21:00:00,2.1355866666666667,0.3739516666666667,0.0,0.1670633333333333,0.0,0.0,0.0,0.0,House33,21,6,6,1,summer,39.59095,2.2826466666666665,1.573095,1.766494097222222,1.4675844285714286
2018-06-03 22:00:00,0.956985,0.05622,0.0,0.15799833333333335,0.0,0.0,0.0,0.0,House33,22,6,6,1,summer,39.59095,2.1355866666666667,2.3898533333333334,1.7067912500000002,1.4603928873239436
2018-06-03 23:00:00,1.0129783333333333,0.061603333333333336,0.0,0.14966500000000002,0.0,0.0,0.0,0.0,House33,23,6,6,1,summer,39.59095,0.956985,2.3850183333333335,1.6496229166666667,1.4541787962962962
2018-06-04 00:00:00,1.0189616666666668,0.061976666666666666,0.0,0.12529333333333334,0.0,0.0,0.0,0.0,House33,0,0,6,0,summer,37.956921666666666,1.0129783333333333,2.0566466666666665,1.6063860416666669,1.4482169178082192
2018-06-04 01:00:00,0.976145,0.05914333333333333,0.0,0.027098333333333335,0.0,0.0,0.0,0.0,House33,1,0,6,0,summer,37.956921666666666,1.0189616666666668,2.0457449999999997,1.561819375,1.4418375675675676
2018-06-04 02:00:00,2.04988,0.133375,0.0,0.190325,0.0,0.0,0.0,0.0,House33,2,0,6,0,summer,37.956921666666666,0.976145,2.4732600000000002,1.5441785416666667,1.4499448
2018-06-04 03:00:00,1.4968183333333334,0.094455,0.0,0.15448666666666666,0.0,0.0,0.0,0.0,House33,3,0,6,0,summer,37.956921666666666,2.04988,2.180815,1.5156786805555555,1.4505615570175439
2018-06-04 04:00:00,0.9000333333333334,0.055215,0.0,0.15315166666666666,0.0,0.0,0.0,0.0,House33,4,0,6,0,summer,37.956921666666666,1.4968183333333334,1.6710633333333333,1.4835524305555554,1.4434118398268398
2018-06-04 05:00:00,0.9254650000000001,0.056611666666666664,0.0,0.15074333333333334,0.0,0.0,0.0,0.0,House33,5,0,6,0,summer,37.956921666666666,0.9000333333333334,1.5339233333333333,1.4581999999999997,1.4367714957264957
2018-06-04 06:00:00,1.2708466666666667,0.080335,0.0,0.14851333333333333,0.0,0.0,0.0,0.0,House33,6,0,6,0,summer,37.956921666666666,0.9254650000000001,1.6416333333333335,1.4427505555555555,1.4346711814345992
2018-06-04 07:00:00,1.5594,0.094225,0.0,0.03189,0.0,0.0,0.0,0.0,House33,7,0,6,0,summer,37.956921666666666,1.2708466666666667,1.5663116666666668,1.4424625694444444,1.4362302916666665
2018-06-04 08:00:00,1.4274666666666667,0.07465666666666666,0.0,0.125805,0.0,0.0,0.0,0.0,House33,8,0,6,0,summer,37.956921666666666,1.5594,1.6499,1.4331945138888889,1.4361220987654322
2018-06-04 09:00:00,1.1050516666666668,0.05996833333333333,0.0,0.13844333333333333,0.0,0.0,0.0,0.0,House33,9,0,6,0,summer,37.956921666666666,1.4274666666666667,1.07376,1.4344983333333332,1.4320846544715446
2018-06-04 10:00:00,1.101875,0.06006,0.0,0.108995,0.0,0.0,0.0,0.0,House33,10,0,6,0,summer,37.956921666666666,1.1050516666666668,0.99203,1.4390752083333334,1.4281062248995984
2018-06-04 11:00:00,1.6761116666666667,0.10109499999999999,0.0,0.15070666666666668,0.0,0.0,0.0,0.0,House33,11,0,6,0,summer,37.956921666666666,1.101875,0.8068116666666667,1.4752960416666665,1.4310586706349206
2018-06-04 12:00:00,1.143735,0.06920166666666666,0.0,0.08003166666666667,0.0,0.0,0.0,0.0,House33,12,0,6,0,summer,37.956921666666666,1.6761116666666667,2.86722,1.4034841666666666,1.4276783921568625
2018-06-04 13:00:00,0.22895333333333331,0.014235,0.0,0.03560666666666667,0.0,0.0,0.0,0.0,House33,13,0,6,0,summer,37.956921666666666,1.143735,1.053445,1.369130347222222,1.4137397286821705
2018-06-04 14:00:00,1.5354466666666666,0.09018666666666666,0.0,0.15246,0.0,0.0,0.0,0.0,House33,14,0,6,0,summer,37.956921666666666,0.22895333333333331,1.2867899999999999,1.3794910416666666,1.4151386590038315
2018-06-04 15:00:00,1.29208,0.08269166666666666,0.0,0.16822333333333334,0.0,0.0,0.0,0.0,House33,15,0,6,0,summer,37.956921666666666,1.5354466666666666,1.1517966666666666,1.3853361805555553,1.4137402651515152
2018-06-04 16:00:00,1.8487683333333333,0.11912833333333334,0.0,0.17177499999999998,0.0,0.0,0.0,0.0,House33,16,0,6,0,summer,37.956921666666666,1.29208,1.2607849999999998,1.4098354861111113,1.4186282209737828
2018-06-04 17:00:00,2.9341566666666665,0.1963366666666667,0.0,0.1782466666666667,0.0,0.0,0.0,0.0,House33,17,0,6,0,summer,37.956921666666666,1.8487683333333333,2.114125,1.444003472222222,1.435467425925926
2018-06-04 18:00:00,2.2360866666666666,0.15152000000000002,0.0,0.20633500000000002,0.0,0.0,0.0,0.0,House33,18,0,6,0,summer,37.956921666666666,2.9341566666666665,1.8788799999999999,1.4588870833333332,1.4442654395604395
2018-06-04 19:00:00,1.970685,0.130445,0.0,0.20796833333333334,0.0,0.0,0.0,0.0,House33,19,0,6,0,summer,37.956921666666666,2.2360866666666666,1.8978116666666667,1.461923472222222,1.449987391304348
