datetime,usage_kw,ac_kw,refrigerator_kw,kitchen_kw,ups_kw,wp_kw,wd_kw,br_kw,house_id,hour,day_of_week,month,is_weekend,season,daily_kwh,usage_lag_1h,usage_lag_24h,usage_roll_24h,usage_roll_7d
2018-06-03 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,9,6,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-03 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,10,6,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-03 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,11,6,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-03 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,12,6,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-03 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,13,6,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-03 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,14,6,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-03 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,15,6,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-03 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,16,6,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-03 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,17,6,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-03 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,18,6,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-03 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,19,6,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,20,6,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-03 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,21,6,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-03 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,22,6,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,23,6,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,0,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,1,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,2,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,3,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,4,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,5,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,6,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,7,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,8,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,9,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,10,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,11,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,12,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,13,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,14,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,15,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,16,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,17,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,18,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,19,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,20,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,21,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,22,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-04 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,23,0,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,0,1,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-05 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,1,1,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-05 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,2,1,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-05 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,3,1,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-05 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,4,1,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-05 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,5,1,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-05 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,6,1,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-05 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,7,1,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-05 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,8,1,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-05 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,9,1,6,0,summer,0.0,0.0,0.0,0.0,0.0
2018-06-05 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House24,10,1,6,0,summer,0.0,0.0,0.0,0.0,0.0
