datetime,usage_kw,ac_kw,refrigerator_kw,kitchen_kw,ups_kw,wp_kw,wd_kw,br_kw,house_id,hour,day_of_week,month,is_weekend,season,daily_kwh,usage_lag_1h,usage_lag_24h,usage_roll_24h,usage_roll_7d
2018-06-02 00:00:00,3.2777450000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House26,0,5,6,1,summer,37.654311666666665,0.8889750000000001,3.5714533333333334,1.6011327083333333,1.6799455333333333
2018-06-02 01:00:00,3.0871166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House26,1,5,6,1,summer,37.654311666666665,3.2777450000000004,3.1501466666666667,1.5985064583333333,1.7340674999999999
2018-06-02 02:00:00,2.982425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House26,2,5,6,1,summer,37.654311666666665,3.0871166666666667,3.1593283333333333,1.5911354861111109,1.780302962962963
2018-06-02 03:00:00,2.776805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House26,3,5,6,1,summer,37.654311666666665,2.982425,3.256871666666667,1.5711327083333335,1.8158923214285714
2018-06-02 04:00:00,2.5259266666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House26,4,5,6,1,summer,37.654311666666665,2.776805,2.884468333333333,1.556193472222222,1.840376264367816
2018-06-02 05:00:00,2.247785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House26,5,5,6,1,summer,37.654311666666665,2.5259266666666664,2.8314466666666664,1.531874236111111,1.8539565555555555
2018-06-02 06:00:00,1.969395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House26,6,5,6,1,summer,37.654311666666665,2.247785,2.14622,1.5245065277777776,1.857680376344086
2018-06-02 07:00:00,2.2393066666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House26,7,5,6,1,summer,37.654311666666665,1.969395,1.7717133333333335,1.5439895833333335,1.8696061979166667
2018-06-02 08:00:00,2.1060433333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House26,8,5,6,1,summer,37.654311666666665,2.2393066666666663,1.6906966666666667,1.5612956944444445,1.8767709595959596
2018-06-02 09:00:00,0.7918566666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House26,9,5,6,1,summer,37.654311666666665,2.1060433333333335,0.6973283333333333,1.5652343750000002,1.8448617156862746
