datetime,usage_kw,ac_kw,refrigerator_kw,kitchen_kw,ups_kw,wp_kw,wd_kw,br_kw,house_id,hour,day_of_week,month,is_weekend,season,daily_kwh,usage_lag_1h,usage_lag_24h,usage_roll_24h,usage_roll_7d
2018-06-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House14,0,5,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House14,1,5,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House14,2,5,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House14,3,5,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House14,4,5,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House14,5,5,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House14,6,5,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House14,7,5,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House14,8,5,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-02 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House14,9,5,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-02 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House14,10,5,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-02 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House14,11,5,6,1,summer,0.0,0.0,0.0,0.0,0.0
2018-06-02 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House14,12,5,6,1,summer,0.0,0.0,0.0,0.0,0.0
