year_month,monthly_kwh,house_id,bill_pkr
2019-02,110.83847833333333,House2,693.54
2019-03,151.012125,House2,1097.68
2019-04,307.880965,House2,2959.57
2019-05,394.31393,House2,4649.34
2018-06,874.59483,House20,14580.07
2018-07,974.007005,House20,16831.76
2018-08,966.307875,House20,16657.37
2018-09,656.8036416666666,House20,9781.01
2018-10,402.03339666666665,House20,4800.25
2018-11,245.82202166666667,House20,2147.24
2018-12,230.87899666666667,House20,1965.68
2019-01,230.26513833333334,House20,1958.22
2019-02,216.28732,House20,1788.39
2019-03,203.15056833333333,House20,1628.78
2019-04,407.79325,House20,4912.86
2019-05,561.677735,House20,7921.3
2018-06,929.40828,House21,15821.6
2018-07,780.541955,House21,12449.78
2018-08,1102.8020516666666,House21,19748.97
2018-09,780.4430433333333,House21,12447.53
2018-10,427.03503333333333,House21,5289.03
2018-11,381.94623,House21,4407.55
2018-12,245.65361833333333,House21,2145.19
2019-01,236.99566666666666,House21,2040.0
2019-02,223.83532333333332,House21,1880.1
2019-03,279.12568166666665,House21,2551.88
2019-04,458.74245504148365,House21,5908.91
2019-05,629.4222833333333,House21,9245.71
2018-06,590.6873183333333,House22,8488.44
2018-07,515.722145,House22,7022.87
2018-08,672.72642,House22,10092.3
2018-09,540.3385916666666,House22,7504.12
2018-10,270.018265,House22,2441.22
2018-11,158.42502,House22,1172.26
2018-12,185.34647166666667,House22,1443.09
2019-01,190.47212333333334,House22,1494.65
2019-02,214.75856833333333,House22,1769.82
2019-03,170.2287,House22,1291.0
2019-04,409.13004333333333,House22,4938.99
2019-05,497.54341,House22,6667.47
2018-06,998.1426566666667,House23,17378.43
2018-07,937.1666966666667,House23,15997.33
2018-08,1251.6967516666666,House23,23121.43
2018-09,915.0731766666667,House23,15496.91
2018-10,613.0086766666667,House23,8924.82
2018-11,392.88376166666666,House23,4621.38
2018-12,373.0783783333333,House23,4234.18
2019-01,346.7542266666667,House23,3719.55
2019-02,372.0092383333333,House23,4213.28
2019-03,445.89157666666665,House23,5657.68
2019-04,731.69868,House23,11343.48
2019-05,1111.96154,House23,19956.43
2018-06,0.0,House24,0.0
2018-07,0.0,House24,0.0
2018-08,0.026365000000000003,House24,0.1
2018-09,988.4844616666667,House24,17159.67
2018-10,352.10631333333333,House24,3824.18
2018-11,112.489325,House24,710.14
2018-12,97.48187166666666,House24,565.01
2019-01,50.131495,House24,198.52
2019-02,49.81148833333334,House24,196.76
2019-03,93.82185,House24,536.68
2019-04,237.50439333333333,House24,2046.18
2019-05,671.7325733333333,House24,10072.87
2018-06,826.9534116666666,House25,13500.99
2018-07,748.2358916666667,House25,11718.04
2018-08,843.3464766666667,House25,13872.3
2018-09,618.2651783333333,House25,9027.58
2018-10,293.30351,House25,2724.14
2018-11,193.41221,House25,1524.23
2018-12,180.26422333333335,House25,1391.96
2019-01,177.37236,House25,1362.87
2019-02,162.080775,House25,1209.03
2019-03,179.28456833333334,House25,1382.1
2019-04,361.6817833333333,House25,4011.38
2019-05,582.318615,House25,8324.83
2018-06,1061.4012483333333,House26,18811.24
2018-07,1155.8421216666666,House26,20950.32
2018-08,1362.18479,House26,25623.99
2018-09,1106.6494566666668,House26,19836.11
2018-10,666.25346,House26,9965.76
2018-11,401.528335,House26,4790.38
2018-12,426.29915166666666,House26,5274.65
2019-01,442.82599166666665,House26,5597.75
2019-02,373.6152,House26,4244.68
2019-03,422.5216833333333,House26,5200.8
2019-04,539.2105566666667,House26,7482.07
2019-05,829.8167166666667,House26,13565.85
2018-06,582.8619433333333,House27,8335.45
2018-07,746.8055883333334,House27,11685.65
2018-08,845.7507416666666,House27,13926.75
2018-09,668.3798816666666,House27,10007.33
2018-10,141.862365,House27,1005.64
2018-11,122.64307,House27,812.29
2018-12,112.35612833333333,House27,708.8
2019-01,116.67512,House27,752.25
2019-02,117.07362833333333,House27,756.26
2019-03,142.262785,House27,1009.66
2019-04,144.964205,House27,1036.84
2019-05,191.84282666666667,House27,1508.44
2018-06,1855.6114566666668,House28,36800.1
2018-07,1542.2104516666666,House28,29701.57
2018-08,2305.6347483333334,House28,46993.13
2018-09,1371.1215783333334,House28,25826.4
2018-10,536.2333816666667,House28,7423.86
2018-11,360.455525,House28,3987.41
2018-12,303.35353833333335,House28,2871.06
2019-01,292.938345,House28,2719.7
2019-02,256.90506833333336,House28,2281.9
2019-03,294.63513,House28,2740.32
2019-04,483.4613366666667,House28,6392.17
2019-05,1070.929745,House28,19027.06
2018-06,1039.6406866666666,House29,18318.36
2018-07,776.8480283333333,House29,12366.11
2018-08,1299.6697566666667,House29,24208.02
2018-09,677.0899866666666,House29,10177.61
2018-10,243.85907166666667,House29,2123.39
2018-11,196.78206333333333,House29,1558.13
2018-12,568.4018983333333,House29,8052.76
2019-01,780.397875,House29,12446.51
2019-02,1233.96295,House29,22719.76
2019-03,516.1686666666667,House29,7031.6
2019-04,353.3679833333333,House29,3848.84
2019-05,760.94152,House29,12005.83
2018-06,2718.457626666667,House3,56343.57
2018-07,2681.778836666667,House3,55512.79
2018-08,3268.857703333333,House3,68810.13
2018-09,2749.152071666667,House3,57038.79
2018-10,1396.8273983333333,House3,26408.64
2018-11,542.4526033333333,House3,7545.45
2018-12,0.0,House3,0.0
2019-01,0.00028833333333333337,House3,0.0
2019-02,453.2190483333333,House3,5800.93
2019-03,753.3649933333334,House3,11834.22
2019-04,1287.81844,House3,23939.59
2019-05,1799.39323,House3,35526.76
2018-01,0.0,House30,0.0
2018-02,0.0,House30,0.0
2018-03,539.58081,House30,7489.3
2018-04,1006.3799833333334,House30,17565.01
2018-05,1602.9653916666666,House30,31077.67
2018-06,1967.814635,House30,39341.5
2018-07,1775.54028,House30,34986.49
2018-08,2109.4096116666665,House30,42548.63
2018-09,1486.9945883333332,House30,28450.93
2018-10,737.5038883333333,House30,11474.96
2018-11,499.4557766666667,House30,6704.86
2018-12,510.13576666666665,House30,6913.65
2018-06,754.0880066666666,House31,11850.59
2018-07,1507.8779566666667,House31,28923.94
2018-08,1277.365015,House31,23702.82
2018-09,1236.4722466666667,House31,22776.6
2018-10,562.487405,House31,7937.13
2018-11,249.24735,House31,2188.86
2018-12,855.6931066666667,House31,14151.95
2019-01,1031.161275,House31,18126.3
2019-02,595.30431,House31,8578.7
2019-03,445.4223166666667,House31,5648.51
2019-04,892.95486,House31,14995.93
2019-05,1372.1760516666666,House31,25850.29
2018-06,1098.0325116666668,House32,19640.94
2018-07,802.5077716666667,House32,12947.3
2018-08,931.4171916666667,House32,15867.1
2018-09,757.97085,House32,11938.54
2018-10,395.5247366666667,House32,4673.01
2018-11,221.738535,House32,1854.62
2018-12,215.76822166666668,House32,1782.08
2019-01,241.42209833333334,House32,2093.78
2019-02,252.471705,House32,2228.03
2019-03,267.94237166666665,House32,2416.0
2019-04,405.288895,House32,4863.9
2019-05,732.6585033333333,House32,11365.22
2018-06,944.58417,House33,16165.33
2018-07,1127.5223083333333,House33,20308.88
2018-08,1063.3779066666666,House33,18856.01
2018-09,893.99778,House33,15019.55
2018-10,563.5373266666667,House33,7957.65
2018-11,153.94915833333334,House33,1127.23
2018-12,132.47105833333333,House33,911.16
2019-01,221.48501166666668,House33,1851.54
2019-02,175.28794666666667,House33,1341.9
2019-03,190.67033666666666,House33,1496.64
2019-04,399.8102166666667,House33,4756.79
2019-05,521.62479,House33,7138.26
2018-06,2265.2041983333334,House34,46077.38
2018-07,1950.651965,House34,38952.77
2018-08,1840.1537116666666,House34,36449.98
